timestamp,signal_percent
2026-06-18T12:40:40.484170,99
2026-06-18T12:40:41.707485,99
2026-06-18T12:40:42.934725,99
2026-06-18T12:40:44.450669,99
2026-06-18T12:40:45.738000,99
2026-06-18T12:40:46.961834,99
2026-06-18T12:40:48.193118,99
2026-06-18T12:40:49.425705,99
2026-06-18T12:40:50.769829,99
2026-06-18T12:40:51.978089,99
2026-06-18T12:40:53.216619,99
2026-06-18T12:40:54.525955,99
2026-06-18T12:40:55.759331,99
2026-06-18T12:40:56.975687,99
2026-06-18T12:40:58.253768,99
2026-06-18T12:40:59.476104,99
2026-06-18T12:41:00.690549,99
2026-06-18T12:41:01.892718,99
2026-06-18T12:41:03.144722,99
2026-06-18T12:41:04.362718,99
2026-06-18T12:41:05.654840,99
2026-06-18T12:41:06.945861,99
2026-06-18T12:41:08.213974,99
2026-06-18T12:41:09.617519,99
2026-06-18T12:41:10.954772,99
2026-06-18T12:41:12.182954,99
2026-06-18T12:41:13.383057,99
2026-06-18T12:41:14.689517,99
2026-06-18T12:41:15.940631,99
2026-06-18T12:41:17.191152,99
2026-06-18T12:41:18.399633,99
2026-06-18T12:41:19.647596,99
2026-06-18T12:41:20.905750,99
2026-06-18T12:41:22.144947,99
2026-06-18T12:41:23.410762,99
2026-06-18T12:41:24.668560,99
2026-06-18T12:41:25.928758,99
2026-06-18T12:41:27.180284,99
2026-06-18T12:41:28.396484,99
2026-06-18T12:41:29.636861,99
2026-06-18T12:41:30.930773,99
2026-06-18T12:41:32.181999,99
2026-06-18T12:41:33.455836,99
2026-06-18T12:41:34.698382,99
2026-06-18T12:41:35.892885,99
2026-06-18T12:41:37.112201,99
2026-06-18T12:41:38.317592,99
2026-06-18T12:41:39.525872,99
2026-06-18T12:41:40.764895,99
2026-06-18T12:41:42.141301,99
2026-06-18T12:41:43.351453,99
2026-06-18T12:41:44.555495,99
2026-06-18T12:41:45.787709,99
2026-06-18T12:41:46.994011,99
2026-06-18T12:41:48.195002,99
2026-06-18T12:41:49.375089,99
2026-06-18T12:41:50.599433,99
2026-06-18T12:41:52.174876,99
2026-06-18T12:41:53.412711,99
2026-06-18T12:41:54.753640,99
2026-06-18T12:41:55.969894,99
2026-06-18T12:41:57.245514,99
2026-06-18T12:41:58.492775,99
2026-06-18T12:41:59.761018,99
2026-06-18T12:42:01.063188,99
2026-06-18T12:42:02.261351,99
2026-06-18T12:42:05.622449,99
2026-06-18T12:42:06.924860,99
2026-06-18T12:42:08.179139,99
2026-06-18T12:42:09.407490,99
2026-06-18T12:42:10.627333,99
2026-06-18T12:42:11.869482,99
2026-06-18T12:42:13.069084,99
2026-06-18T12:42:14.338751,99
2026-06-18T12:42:15.568839,99
2026-06-18T12:42:16.793596,99
2026-06-18T12:42:17.995224,99
2026-06-18T12:42:19.207591,99
2026-06-18T12:42:20.450077,99
2026-06-18T12:42:21.705801,99
