subcarrier,mean,std,zero_rate,mostly_zero,low_variance
0,0.0,0.0,1.0,True,True
1,0.0,0.0,1.0,True,True
2,0.0,0.0,1.0,True,True
3,0.0,0.0,1.0,True,True
4,0.0,0.0,1.0,True,True
5,0.0,0.0,1.0,True,True
6,4.865179181129643,0.9623439768321632,0.0,False,False
7,5.057576303601929,0.9707480614430275,0.0,False,False
8,5.358032509859582,0.997610852075194,5.151452709664125e-05,False,False
9,5.538123244910591,1.0212115526072079,0.0,False,False
10,5.712834900982376,1.039890476847971,0.0,False,False
11,5.857799558241098,1.0530001912847358,0.0,False,False
12,6.091411628392512,1.0586061706090104,0.0,False,False
13,6.26393020258671,1.063432677533006,0.0,False,False
14,6.489123003840962,1.092883372709651,0.0,False,False
15,6.700782441586877,1.1149605892505927,0.0,False,False
16,6.896411820266656,1.1976660677705286,0.0,False,False
17,7.121584748954054,1.215841554313559,0.0,False,False
18,7.3076400298225295,1.223147284874677,5.151452709664125e-05,False,False
19,7.457022232731028,1.241360194993997,5.151452709664125e-05,False,False
20,7.619079123538424,1.2548131161203444,0.0,False,False
21,7.77112804759465,1.2675707030818308,0.0,False,False
22,7.832537709770069,1.2766238180320093,0.0,False,False
23,7.886903789346547,1.2784669684026961,0.0,False,False
24,8.090670691098033,1.2817132475391741,0.0,False,False
25,8.166730508217487,1.2856136376611655,0.0,False,False
26,8.168883588678586,1.26940824030953,0.0,False,False
27,8.186783854970729,1.2757380319339835,0.0,False,False
28,8.12642781683619,1.2703778467626219,0.0,False,False
29,8.170293963639583,1.2636867868784651,0.0,False,False
30,8.122126090300592,1.2623403852331456,0.0,False,False
31,8.129708530950516,1.2546836130275996,0.0,False,False
32,0.0,0.0,1.0,True,True
33,8.025639127240632,1.2366936253097829,0.0,False,False
34,8.004206190140204,1.2145709641659712,0.0,False,False
35,7.91023414286785,1.219309727750161,0.0,False,False
36,7.763026585756762,1.1944204014791577,0.0,False,False
37,7.613083795766204,1.172132009856469,0.0,False,False
38,7.6712437800567175,1.163905897788536,0.0,False,False
39,7.616930928754482,1.1487509521241546,0.0,False,False
40,7.548472761985029,1.145235551568857,0.0,False,False
41,7.565103334224079,1.1335900605240723,0.0,False,False
42,7.601409986071702,1.1292389589707283,0.0,False,False
43,7.692637925138921,1.1299347532083654,0.0,False,False
44,7.605106970869878,1.1182297343396705,0.0,False,False
45,7.7241918079243375,1.1313203660433284,0.0,False,False
46,7.879223832083367,1.1376277171491351,5.151452709664125e-05,False,False
47,7.9815342042978195,1.1470472749390659,0.0,False,False
48,8.19398599854455,1.1612256119761042,0.0,False,False
49,8.300381570624587,1.0215672866736523,0.0,False,False
50,8.530249612517586,1.0178385490598267,0.0,False,False
51,8.7463539635155,1.016555798535606,0.0,False,False
52,8.939556704460653,1.0432865998165266,0.0,False,False
53,9.216339577357106,1.0596993067564735,0.0,False,False
54,9.459382947685546,1.0797977488168056,0.0,False,False
55,9.688222363723225,1.116226273609817,0.0,False,False
56,10.01988444123444,1.128430725643778,0.0,False,False
57,10.247721202909492,1.129778888111902,0.0,False,False
58,10.546126182708646,1.1466105745921207,0.0,False,False
59,0.0,0.0,1.0,True,True
60,0.0,0.0,1.0,True,True
61,0.0,0.0,1.0,True,True
62,0.0,0.0,1.0,True,True
63,0.0,0.0,1.0,True,True
64,0.0,0.0,1.0,True,True
65,0.0,0.0,1.0,True,True
66,65.2210789026488,8.983443310039318,0.013290747990933443,False,False
67,66.21336908299186,9.256313639638192,0.013290747990933443,False,False
68,67.7058572871597,7.794470921175894,0.0018030084483824438,False,False
69,67.11607620309806,7.110016076151464,0.0018030084483824438,False,False
70,66.9715538046273,7.5737001536087565,0.0018030084483824438,False,False
71,66.88687441049593,7.40295594889501,0.0018030084483824438,False,False
72,67.1011711805844,7.4527731942785955,0.0018030084483824438,False,False
73,67.13315054017097,7.428134023475044,0.0018030084483824438,False,False
74,66.07270978261288,6.949157111812929,0.0018030084483824438,False,False
75,66.31134397318357,6.7466409279240915,0.0018030084483824438,False,False
76,66.48405660697168,6.227523848057737,0.0018030084483824438,False,False
77,66.9371879221409,6.113049070595999,0.0018030084483824438,False,False
78,66.38409725189602,5.972768762562895,0.0018030084483824438,False,False
79,65.32742681747463,6.350016364381735,0.0018030084483824438,False,False
80,65.67231641033372,5.52465944455626,0.0018030084483824438,False,False
81,66.69225016326578,5.45271385889228,0.0018030084483824438,False,False
82,66.15453407134613,5.354544515125426,0.0018030084483824438,False,False
83,65.2937650683981,5.292679092635355,0.0018030084483824438,False,False
84,65.89791040029473,6.13084622830752,0.0018030084483824438,False,False
85,65.4073423476114,5.884779794183948,0.0018030084483824438,False,False
86,66.52516511364522,6.131232898499558,0.0018030084483824438,False,False
87,64.34368805386174,5.775590443002345,0.0018030084483824438,False,False
88,65.9484859043953,5.553094096124955,0.0018030084483824438,False,False
89,64.78378698817484,4.954863930725811,0.0018030084483824438,False,False
90,63.902678944365455,4.781212427763246,0.0018030084483824438,False,False
91,64.4390166922498,4.867187374817012,0.0018030084483824438,False,False
92,64.57022657891585,5.485647694898274,0.0018030084483824438,False,False
93,65.29673682948179,4.982367247598911,0.0018030084483824438,False,False
94,63.97258593278056,4.802904864256057,0.0018030084483824438,False,False
95,65.03987461793994,4.943206414685518,0.0018030084483824438,False,False
96,63.71600348222828,8.016546519863136,0.013290747990933443,False,False
97,64.52037962829603,5.867717185661039,0.0018030084483824438,False,False
98,62.327745608636924,5.539176553843508,0.0018030084483824438,False,False
99,62.42238618181387,5.900891494154332,0.0018030084483824438,False,False
100,62.11345405350659,5.7409351269869795,0.0018030084483824438,False,False
101,60.1311845629087,5.102178086737847,0.0018030084483824438,False,False
102,59.90058135421355,4.809015362133222,0.0018030084483824438,False,False
103,59.382670306530585,4.796877948971521,0.0018030084483824438,False,False
104,57.91302490008386,4.764347349502467,0.0018030084483824438,False,False
105,56.577089431972176,4.801846623850059,0.0018030084483824438,False,False
106,55.57059256366767,5.344664147575379,0.0018030084483824438,False,False
107,53.73266224907326,4.669501919998227,0.0018030084483824438,False,False
108,51.798921704120346,4.571605236526231,0.0018030084483824438,False,False
109,50.32895475054878,4.5888178584935675,0.0018030084483824438,False,False
110,49.437217806433495,5.364536319792641,0.0018030084483824438,False,False
111,48.30150570919557,5.106664749805597,0.0018030084483824438,False,False
112,47.327086770851395,5.09443899849986,0.0018030084483824438,False,False
113,45.82067123103972,5.004225146550508,0.0018030084483824438,False,False
114,44.73850055068099,4.619672747550842,0.0018030084483824438,False,False
115,43.8534010228928,4.457663000968348,0.0018030084483824438,False,False
116,43.069868129478294,4.484329171123921,0.0018030084483824438,False,False
117,42.30869947864227,4.501591416267645,0.0018030084483824438,False,False
118,40.914710411601966,4.49634232320231,0.0018030084483824438,False,False
119,39.76727343838706,4.783821029709426,0.0018030084483824438,False,False
120,39.08196315921608,4.542284059196751,0.0018030084483824438,False,False
121,39.031932141101414,4.610238473422156,0.0018030084483824438,False,False
122,37.986214159592734,4.755204716669948,0.0018030084483824438,False,False
123,0.5215992310502567,5.164991850427002,0.988512260457449,True,False
124,0.5315037824531302,5.275806304546795,0.988512260457449,True,False
125,0.0,0.0,1.0,True,True
126,0.0,0.0,1.0,True,True
127,0.0,0.0,1.0,True,True
