sample,csi_mean,csi_std,csi_energy,zero_fraction
0,29.08666704595089,26.379387047276996,1541.906260832051,0.1484375
1,29.611256670206785,27.89352018620124,1654.874989966882,0.1484375
2,29.725354246795177,27.521671169634892,1641.0390690669765,0.1484375
3,29.501080058515072,27.13577554481272,1606.6640390373718,0.1484375
4,29.051554929465055,27.05028832682226,1575.710942383942,0.1484375
5,28.967870235443115,26.768451460393905,1555.687499564936,0.1484375
6,28.78893742337823,26.44499413848302,1528.1406329515887,0.1484375
7,29.42347401380539,27.2718054734892,1609.4921968249164,0.1484375
8,28.774361230432987,26.681077245278953,1539.843747187987,0.1484375
9,29.396260049194098,26.82802070431397,1583.8827997909439,0.1484375
10,29.244722917675972,27.00484815383097,1584.51564234311,0.1484375
11,29.15106340125203,27.35481354711573,1598.0703216212817,0.1484375
12,29.306565560400486,26.797129503918224,1576.9609345958165,0.1484375
13,30.090310230851173,27.541357132765263,1663.953122503387,0.1484375
14,29.156645618379116,27.27463383891494,1594.0156347626303,0.1484375
15,29.378626063466072,26.938113691814902,1588.7656386501135,0.1484375
16,28.968279015272856,26.74698690109018,1554.5624973937875,0.1484375
17,29.843736816197634,27.751685668431584,1660.8046845939011,0.1484375
18,29.326062865555286,26.929987161499465,1585.242171713027,0.1484375
19,29.256535813212395,27.763517559933593,1626.7577950905204,0.1484375
20,29.44791766628623,27.731128431236268,1636.1953389500932,0.1484375
21,29.789268381893635,27.400492648422244,1638.1875081047294,0.1484375
22,29.5479802377522,27.77945500559564,1644.7812565385073,0.1484375
23,29.618206687271595,26.84904489507895,1598.109379147905,0.1484375
24,28.71799238398671,26.39608844613294,1521.4765718227916,0.1484375
25,29.647810954600573,26.928860995237265,1604.1562489005446,0.1484375
26,29.502655118703842,27.652834631325213,1635.085922200601,0.1484375
27,29.275123562663794,27.358413137141607,1605.5156289917554,0.1484375
28,29.645174212753773,27.820005339660792,1652.7890512032764,0.1484375
29,29.50879166647792,27.08934807938492,1604.601564981672,0.1484375
30,30.040590923279524,27.694489865590057,1669.4218719350947,0.1484375
31,30.090265959501266,27.32053858433244,1651.835934051518,0.1484375
32,28.780243568122387,26.25197752772161,1517.4687439564505,0.1484375
33,29.28032213076949,27.116621563543085,1592.6484291020395,0.1484375
34,29.323785055428743,27.536311127956733,1618.13280051262,0.1484375
35,28.729250580072403,27.083156247483107,1558.867191218174,0.1484375
36,29.2913414016366,26.796720212273883,1576.046895242118,0.1484375
37,29.841029837727547,27.353538403272324,1638.7031249554398,0.1484375
38,29.776728473603725,27.451710752828696,1640.2499818476936,0.1484375
39,29.498911883682013,26.86034725467846,1591.6640569631486,0.1484375
40,29.337954614311457,27.56857974271664,1620.7421699819251,0.1484375
41,29.85089625045657,27.690994705069723,1657.8671947117218,0.1484375
42,29.269509822130203,27.20995633015721,1597.085928716839,0.1484375
43,28.838764738291502,27.205192996122562,1571.7968775868014,0.1484375
44,29.697263155132532,27.714262690100394,1650.007795361083,0.1484375
45,29.170668482780457,27.361188150806022,1599.562516756089,0.1484375
46,28.71643341332674,26.192780721161796,1510.6953098888937,0.1484375
47,29.725600469857454,26.972461484090974,1611.1250018043606,0.1484375
48,29.577625069767237,27.28767508364076,1619.4531162380722,0.1484375
49,29.626378040760756,27.381926833714537,1627.4921929409672,0.1484375
50,29.089698933064938,27.4173533936098,1597.9218511264462,0.1484375
51,29.29719588160515,26.291085519255354,1549.5468643059403,0.1484375
52,29.69568595290184,26.92383338431884,1606.7265683199334,0.1484375
53,29.663809947669506,27.10547598881704,1614.6484491917936,0.1484375
54,29.302213955670595,27.81364760964479,1632.218736057396,0.1484375
55,28.6943300627172,26.77311130434858,1540.1640666631938,0.1484375
56,29.814499855041504,27.385306174362366,1638.8593958698395,0.1484375
57,29.70296450704336,27.385548750241302,1632.2343808585206,0.1484375
58,29.427562728524208,26.5832088138998,1572.6484389846269,0.1484375
59,29.210912201553583,26.594979156382756,1560.5703079753052,0.1484375
60,29.375674664974213,26.826690168186797,1582.6015674022979,0.1484375
61,29.522768680006266,26.81752362491035,1590.7734439057836,0.1484375
62,29.076111428439617,27.370748139497532,1594.5781095148445,0.1484375
63,29.577836737036705,27.593364709486195,1636.2422020335162,0.1484375
64,29.335243985056877,26.493920935646916,1562.4843862071257,0.1484375
65,29.602941814810038,27.725527607029182,1645.039045179166,0.1484375
66,29.061930142343044,27.294507717471646,1589.5859351375466,0.1484375
67,29.648462660610676,26.76985071836672,1595.6562456212646,0.1484375
68,29.415014393627644,26.71725312858577,1579.0546865142478,0.1484375
69,29.513862382620573,27.75060289573007,1641.1640338167679,0.1484375
70,29.574253849685192,26.89803208641092,1598.1406208872108,0.1484375
71,29.869244817644358,27.18987196980564,1631.4609237107968,0.1484375
72,29.180550541728735,26.326142837413528,1544.5703266142848,0.1484375
73,29.379985760897398,26.624780443342505,1572.0624969667274,0.1484375
74,29.16352090239525,27.53174243287188,1608.5077928144424,0.1484375
75,29.60304196923971,27.235728564665713,1618.1250042807155,0.1484375
76,29.198494993150234,26.625635340637594,1561.4765671576292,0.1484375
77,29.57378115877509,26.704269924089974,1587.7265642057769,0.1484375
78,29.250475082546473,26.92893462409639,1580.7578125435293,0.1484375
79,29.175088856369257,27.15194755044016,1588.414065558895,0.1484375
80,29.27817703038454,27.064435239155934,1589.6953050370025,0.1484375
81,29.531172055751085,26.65498073919353,1582.5781211931517,0.1484375
82,29.26427135244012,27.42149457813343,1608.3359426878485,0.1484375
83,29.302844807505608,26.4292893678903,1557.1640503044378,0.1484375
84,28.615947019308805,25.679261214676416,1478.2968803434728,0.1484375
85,28.97068874910474,27.123775530666524,1575.000005635488,0.1484375
86,29.853643223643303,27.493220787771712,1647.1172030097464,0.1484375
87,29.438215140253305,26.670604952207135,1577.9296791605348,0.1484375
88,29.199126578867435,27.40418128387007,1603.5781448079374,0.1484375
89,29.370081432163715,26.777145148603573,1579.6171856413116,0.1484375
90,15.943652965128422,12.927801531740894,421.32812231653054,0.1484375
91,29.431466281414032,26.73787195387223,1581.1250040956784,0.1484375
92,29.46902285888791,26.862615877316244,1590.023440029901,0.1484375
93,29.13414577022195,27.27246772612941,1592.5859456333117,0.1484375
94,29.197127036750317,26.786708864965394,1569.999999016552,0.1484375
95,28.810266610234976,26.863511037893392,1551.6796874358406,0.1484375
96,29.438476838171482,26.80326745034278,1585.0390645661635,0.1484375
97,29.305698581039906,26.675206721120478,1570.3906229372756,0.1484375
98,29.32425870746374,27.558637453442945,1619.390647032571,0.1484375
99,29.138225104659796,26.841603191235873,1569.50782412559,0.1484375
100,29.17427859455347,26.649089451099357,1561.3125000853158,0.1484375
101,29.71590941026807,27.98569455313463,1666.2343717006074,0.1484375
102,30.08778588473797,27.69671405809225,1672.3828290615625,0.1484375
103,28.423208344727755,25.864206252019304,1476.835937654796,0.1484375
104,29.55613300204277,27.6160453505316,1636.21095883706,0.1484375
105,29.067618392407894,27.186482259657115,1584.0312566613006,0.1484375
106,28.972688380628824,27.146400762044372,1576.3437463345476,0.1484375
107,29.430800333619118,27.027038534585586,1596.6328202273294,0.1484375
108,29.606522105634212,27.819744912026483,1650.4843581616306,0.1484375
109,29.534045021981,27.710521167397967,1640.1327987292116,0.1484375
110,28.675944089889526,26.60450325956991,1530.1093631349358,0.1484375
111,29.34548169001937,26.947846577176083,1587.343730766283,0.1484375
112,29.38951639086008,27.506648237388898,1620.3593709440834,0.1484375
113,28.80549830198288,26.597423935268964,1537.179692417957,0.1484375
114,28.96863479912281,26.574442785394936,1545.3828114791781,0.1484375
115,28.928472343832254,26.94980400775402,1563.1484482042224,0.1484375
116,28.909958865493536,26.512442198417073,1538.6953129289345,0.1484375
117,29.380984615534544,26.855805746810375,1584.4765592886906,0.1484375
118,29.086098831146955,27.352995402765774,1594.187502718974,0.1484375
119,29.3943714722991,26.728419845027382,1578.4375016635647,0.1484375
120,29.907063603401184,27.237905637185136,1636.3359568780854,0.1484375
121,29.56050107628107,26.89092913826459,1596.9452937999818,0.1484375
122,29.62715671956539,27.09166196601907,1611.726563366733,0.1484375
123,29.522211264818907,26.888687946516676,1594.5624974497516,0.1484375
124,29.383241046220064,27.131050357635385,1599.4687478888186,0.1484375
125,28.904953323304653,26.85471185810283,1556.6718756041496,0.1484375
126,29.871923234313726,27.002101965522176,1621.4453082731889,0.1484375
127,28.58365146815777,26.61205431049175,1525.2265658776803,0.1484375
128,29.55989234521985,27.601266999904826,1635.6171754610223,0.1484375
129,5.33719976991415,6.760310627550314,74.18750116494138,0.59375
130,29.009450517594814,26.44729839298495,1541.0078116203665,0.1484375
131,29.735216286033392,27.684123015309932,1650.5937547039987,0.1484375
132,30.29693454504013,28.118090441972015,1708.5312529293642,0.1484375
133,29.068865705281496,27.060426392567017,1577.2656299392283,0.1484375
134,29.751507464796305,27.256094103438173,1628.0468622033075,0.1484375
135,29.549101434648037,27.667653351187187,1638.648437556578,0.1484375
136,29.88912344351411,27.74520803080931,1663.15626889451,0.1484375
137,28.979631278663874,26.900592947074525,1563.4609299515091,0.1484375
138,29.552423667162657,27.45959295900391,1627.374990077653,0.1484375
139,29.194646760821342,27.019682406132308,1582.3906368173919,0.1484375
140,29.13131545484066,26.304691069816453,1540.5703124079196,0.1484375
141,29.32020815089345,26.967087854045317,1586.898433339517,0.1484375
142,29.546633403748274,27.60230227936153,1634.89063661674,0.1484375
143,29.138117108494043,26.46403438150824,1549.3749843739636,0.1484375
144,29.70221685245633,27.96407117778417,1664.2109627865202,0.1484375
145,29.49418283253908,27.19273304136438,1609.3515512181532,0.1484375
146,29.366892509162426,26.954527833416673,1588.9609463671345,0.1484375
147,29.5775759331882,27.39288476909833,1625.2031340566132,0.1484375
148,29.384338933974504,27.140945508701513,1600.0702976929947,0.1484375
149,29.675940927118063,27.938874832334456,1661.2421968066526,0.1484375
150,29.945735432207584,27.310479924104364,1642.6093842606801,0.1484375
151,29.566956412047148,27.885896082089634,1651.8281117729978,0.1484375
152,29.66825045272708,27.82447038730463,1654.4062372597327,0.1484375
153,29.556146416813135,26.84454341132787,1594.1953019747623,0.1484375
154,29.104946210980415,27.56674705117031,1607.0234369272703,0.1484375
155,29.09172711148858,27.0648732098994,1578.8359481972498,0.1484375
156,29.852009393274784,27.69994963006036,1658.429674324047,0.1484375
157,29.672564268112183,27.3775660634497,1629.9921938038005,0.1484375
158,29.55990446358919,27.916189097190195,1653.101565606601,0.1484375
159,29.6137002594769,27.021790991357005,1607.1484314387249,0.1484375
160,29.0693835131824,27.14260397445646,1581.7500083506604,0.1484375
161,29.238665394484997,26.864512295188476,1576.6015749089872,0.1484375
162,30.0737011320889,27.929078421393815,1684.4609212505707,0.1484375
